               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080134,             0.10568,            0.044001,              0.4804,             0.28179,             0.15983,             0.05861,            0.049882,            0.095898,            0.033574,              0.0701,           0.0033222,           0.0033222
                   1,              0.0604,             0.10157,            0.033895,             0.52143,             0.35564,              0.2504,             0.11375,            0.044573,            0.089081,            0.023836,            0.040078,           0.0066336,           0.0066336
                   2,            0.055914,            0.096445,            0.029116,             0.51967,             0.54217,             0.38621,             0.19481,            0.041082,            0.086783,            0.020058,            0.010034,           0.0099229,           0.0099229
                   3,             0.05044,            0.094332,            0.026349,             0.61923,             0.50881,             0.45935,             0.25963,             0.03795,            0.083252,             0.01793,            0.009901,            0.009901,            0.009901
                   4,             0.04659,            0.091191,            0.024282,             0.66586,             0.51395,             0.53206,             0.29913,            0.037214,            0.082425,            0.016499,            0.009901,            0.009901,            0.009901
                   5,            0.044547,            0.090454,            0.022218,              0.6957,             0.58319,             0.60323,             0.36324,            0.034445,            0.079522,            0.015322,            0.009868,            0.009868,            0.009868
                   6,            0.043298,            0.088772,            0.020592,             0.74084,             0.56319,             0.67203,             0.41162,            0.032983,            0.079224,            0.014521,            0.009835,            0.009835,            0.009835
                   7,            0.041885,            0.088483,            0.018925,             0.61798,              0.7483,             0.74558,             0.46864,            0.032779,            0.078635,            0.013769,            0.009802,            0.009802,            0.009802
                   8,            0.041226,            0.085369,            0.017904,             0.70514,             0.73024,             0.77617,             0.48973,            0.031873,            0.076592,            0.013132,            0.009769,            0.009769,            0.009769
                   9,            0.040889,            0.086106,            0.016839,             0.78124,             0.73029,             0.78459,             0.50901,            0.032029,            0.076184,            0.012712,            0.009736,            0.009736,            0.009736
